LinkID,Time,Speed
13,368,31.5
13,404,31.5
13,439,18
13,474,18
13,510,18
13,545,18
13,582,21
13,619,25.2
13,655,4.0645
13,692,25.2
13,730,25.2
13,771,12.6
13,812,25.2
13,851,25.2
13,891,21
13,932,21
13,975,21
13,1016,21
13,1054,21
13,1091,21
13,1128,21
13,1169,21
13,1214,31.5
13,1257,31.5
13,1299,31.5
13,1342,31.5
13,1387,31.5
14,368,34.2857
14,404,13.3333
14,439,13.5849
14,474,13.5849
14,510,13.5849
14,545,13.5849
14,582,12.8571
14,619,12.4138
14,655,12.4138
14,692,12.4138
14,730,12.4138
14,771,11.5615
14,812,13.8462
14,851,13.8462
14,891,11.4286
14,932,11.4286
14,975,11.4286
14,1016,11.4286
14,1054,27.6923
14,1091,27.6923
14,1128,27.6923
14,1169,27.6923
14,1214,14.1176
14,1257,14.1176
14,1299,14.1176
14,1342,14.1176
14,1387,14.1176
25,368,17.8154
25,404,19.3
25,439,9.65
25,474,9.65
25,510,9.65
25,545,9.65
25,582,8.4732
25,619,11.58
25,655,11.58
25,692,11.58
25,730,11.58
25,771,9.7859
25,812,9.7859
25,851,9.7859
25,891,10.0696
25,932,10.0696
25,975,10.0696
25,1016,10.0696
25,1054,7.5522
25,1091,9.5178
25,1128,9.5178
25,1169,9.5178
25,1214,9.65
25,1257,9.65
25,1299,9.65
25,1342,9.65
25,1387,9.65
26,368,13.0171
26,404,14.284
26,439,6.2674
26,474,6.2674
26,510,6.2674
26,545,6.2674
26,582,5.2737
26,619,6.9185
26,655,7.44
26,692,7.44
26,730,7.44
26,771,8.2437
26,812,8.2437
26,851,8.2437
26,891,8.3348
26,932,6.1575
26,975,6.1575
26,1016,8.3348
26,1054,7.5313
26,1091,8.5141
26,1128,5.6266
26,1169,5.6857
26,1214,8.785
26,1257,8.785
26,1299,8.785
26,1342,8.785
26,1387,8.785
64,368,28.8
64,404,57.6
64,439,19.2
64,474,19.2
64,510,19.2
64,545,19.2
64,582,28.8
64,619,28.8
64,655,28.8
64,692,28.8
64,730,28.8
64,771,28.8
64,812,28.8
64,851,28.8
64,891,28.8
64,932,28.8
64,975,28.8
64,1016,28.8
64,1054,28.8
64,1091,28.8
64,1128,28.8
64,1169,28.8
64,1214,22.125
64,1257,28.8
64,1299,28.8
64,1342,28.8
64,1387,28.8
65,368,22.4
65,404,24.6857
65,439,13.0065
65,474,13.0065
65,510,13.0065
65,545,13.0065
65,582,14.7512
65,619,16.3459
65,655,16.3459
65,692,16.3459
65,730,16.3459
65,771,14.2306
65,812,14.2306
65,851,14.2306
65,891,16.3459
65,932,16.3459
65,975,16.3459
65,1016,16.3459
65,1054,12.2182
65,1091,12.2182
65,1128,4.0591
65,1169,12.2182
65,1214,19.2
65,1257,19.2
65,1299,19.2
65,1342,19.2
65,1387,19.2
72,368,30.375
72,404,32.4
72,439,18.6923
72,474,18.6923
72,510,18.6923
72,545,18.6923
72,582,16.2
72,619,16.2
72,655,16.2
72,692,16.2
72,730,16.2
72,771,17.3571
72,812,17.3571
72,851,17.3571
72,891,5.2826
72,932,18
72,975,18
72,1016,18
72,1054,16.2
72,1091,3.3986
72,1128,16.2
72,1169,16.2
72,1214,25.5789
72,1257,25.5789
72,1299,25.5789
72,1342,25.5789
72,1387,25.5789
73,368,32.4
73,404,21.6
73,439,64.8
73,474,64.8
73,510,64.8
73,545,64.8
73,582,7.2
73,619,21.6
73,655,21.6
73,692,21.6
73,730,21.6
73,771,10.8
73,812,10.8
73,851,10.8
73,891,16.2
73,932,16.2
73,975,16.2
73,1016,16.2
73,1054,16.2
73,1091,16.2
73,1128,16.2
73,1169,16.2
73,1214,32.4
73,1257,32.4
73,1299,32.4
73,1342,32.4
73,1387,32.4
74,368,32.4
74,404,21.6
74,439,64.8
74,474,64.8
74,510,64.8
74,545,64.8
74,582,7.2
74,619,21.6
74,655,21.6
74,692,21.6
74,730,21.6
74,771,10.8
74,812,10.8
74,851,10.8
74,891,16.2
74,932,16.2
74,975,16.2
74,1016,16.2
74,1054,16.2
74,1091,16.2
74,1128,16.2
74,1169,16.2
74,1214,32.4
74,1257,32.4
74,1299,32.4
74,1342,32.4
74,1387,32.4
168,368,31.1538
168,404,26.129
168,439,8.4375
168,474,8.4375
168,510,8.4375
168,545,8.4375
168,582,9.5294
168,619,6.6942
168,655,6.6942
168,692,6.6942
168,730,6.6942
168,771,7.7143
168,812,7.7143
168,851,7.7143
168,891,6.3281
168,932,6.3281
168,975,6.3281
168,1016,6.3281
168,1054,5.8273
168,1091,5.8273
168,1128,5.4362
168,1169,5.8273
168,1214,13.5
168,1257,13.5
168,1299,13.5
168,1342,13.5
168,1387,13.5
169,368,38.6169
169,404,36.1045
169,439,20.6759
169,474,20.6759
169,510,20.6759
169,545,17.0188
169,582,17.5647
169,619,16.1471
169,655,16.1471
169,692,16.1471
169,730,17.7471
169,771,18.2571
169,812,18.2571
169,851,16.6571
169,891,15.9641
169,932,15.9641
169,975,15.9641
169,1016,13.6368
169,1054,13.3864
169,1091,13.3864
169,1128,13.1908
169,1169,19.3708
169,1214,23.2071
169,1257,23.2071
169,1299,23.2071
169,1342,23.2071
169,1387,23.2071
170,368,31.1538
170,404,26.129
170,439,8.4375
170,474,8.4375
170,510,8.4375
170,545,8.4375
170,582,9.5294
170,619,6.6942
170,655,6.6942
170,692,6.6942
170,730,6.6942
170,771,7.7143
170,812,7.7143
170,851,7.7143
170,891,6.3281
170,932,6.3281
170,975,6.3281
170,1016,6.3281
170,1054,5.8273
170,1091,5.8273
170,1128,5.4362
170,1169,5.8273
170,1214,13.5
170,1257,13.5
170,1299,13.5
170,1342,13.5
170,1387,13.5
177,368,37.0909
177,404,33.0811
177,439,29.1429
177,474,29.1429
177,510,29.1429
177,545,29.1429
177,582,28.4651
177,619,24
177,655,24
177,692,24
177,730,24
177,771,34
177,812,34
177,851,34
177,891,28.4651
177,932,28.4651
177,975,28.4651
177,1016,28.4651
177,1054,28.4651
177,1091,28.4651
177,1128,28.4651
177,1169,28.4651
177,1214,33.0811
177,1257,33.0811
177,1299,33.0811
