LinkID,Time,Speed
13,351,31.5
13,386,31.5
13,421,31.5
13,455,18
13,490,2.6809
13,524,18
13,559,21
13,595,21
13,630,25.2
13,667,25.2
13,705,25.2
13,750,25.2
13,796,25.2
13,845,25.2
13,890,21
13,930,21
13,971,21
13,1008,21
13,1045,21
13,1081,21
13,1118,21
13,1161,2.8636
13,1211,31.5
13,1265,31.5
13,1316,31.5
13,1368,31.5
13,1417,31.5
14,351,34.2857
14,386,13.3333
14,421,13.3333
14,455,13.5849
14,490,13.5849
14,524,13.5849
14,559,12.8571
14,595,12.8571
14,630,12.4138
14,667,12.4138
14,705,12.4138
14,750,13.8462
14,796,13.8462
14,845,11.25
14,890,11.4286
14,930,11.4286
14,971,11.4286
14,1008,11.4286
14,1045,27.6923
14,1081,27.6923
14,1118,27.6923
14,1161,2.2154
14,1211,14.1176
14,1265,14.1176
14,1316,14.1176
14,1368,14.1176
14,1417,14.1176
25,351,17.8154
25,386,19.3
25,421,19.3
25,455,9.65
25,490,9.65
25,524,9.65
25,559,8.4732
25,595,8.4732
25,630,11.58
25,667,11.58
25,705,11.58
25,750,9.7859
25,796,9.7859
25,845,9.7859
25,890,10.0696
25,930,10.0696
25,971,10.0696
25,1008,10.0696
25,1045,9.5178
25,1081,9.5178
25,1118,9.5178
25,1161,9.5178
25,1211,16.9463
25,1265,9.65
25,1316,9.65
25,1368,9.65
25,1417,9.65
26,351,13.0171
26,386,14.284
26,421,14.284
26,455,6.1214
26,490,6.1214
26,524,6.2674
26,559,5.2737
26,595,5.2311
26,630,7.44
26,667,7.44
26,705,6.9185
26,750,8.2437
26,796,8.2437
26,845,8.2437
26,890,8.3348
26,930,6.1575
26,971,8.3348
26,1008,8.3348
26,1045,8.5141
26,1081,8.5141
26,1118,8.5141
26,1161,5.6857
26,1211,12.4332
26,1265,8.785
26,1316,8.785
26,1368,8.785
26,1417,8.785
64,351,28.8
64,386,57.6
64,421,57.6
64,455,19.2
64,490,19.2
64,524,19.2
64,559,28.8
64,595,28.8
64,630,28.8
64,667,28.8
64,705,28.8
64,750,28.8
64,796,28.8
64,845,28.8
64,890,28.8
64,930,28.8
64,971,28.8
64,1008,28.8
64,1045,28.8
64,1081,28.8
64,1118,28.8
64,1161,28.8
64,1211,28.8
64,1265,28.8
64,1316,28.8
64,1368,28.8
64,1417,28.8
65,351,12.7326
65,386,24.6857
65,421,24.6857
65,455,13.0065
65,490,13.0065
65,524,13.0065
65,559,14.7512
65,595,14.7512
65,630,16.3459
65,667,16.3459
65,705,16.3459
65,750,14.2306
65,796,14.2306
65,845,14.2306
65,890,16.3459
65,930,16.3459
65,971,16.3459
65,1008,16.3459
65,1045,12.2182
65,1081,12.2182
65,1118,12.2182
65,1161,12.2182
65,1211,20.9032
65,1265,19.2
65,1316,19.2
65,1368,19.2
65,1417,19.2
72,351,30.375
72,386,32.4
72,421,32.4
72,455,18.6923
72,490,18.6923
72,524,5.3407
72,559,16.2
72,595,16.2
72,630,16.2
72,667,16.2
72,705,6.9429
72,750,17.3571
72,796,17.3571
72,845,17.3571
72,890,18
72,930,7.1471
72,971,18
72,1008,18
72,1045,16.2
72,1081,3.3986
72,1118,16.2
72,1161,16.2
72,1211,25.5789
72,1265,25.5789
72,1316,25.5789
72,1368,25.5789
72,1417,25.5789
73,351,32.4
73,386,21.6
73,421,21.6
73,455,64.8
73,490,64.8
73,524,64.8
73,559,7.2
73,595,7.2
73,630,21.6
73,667,21.6
73,705,21.6
73,750,10.8
73,796,10.8
73,845,10.8
73,890,16.2
73,930,16.2
73,971,16.2
73,1008,16.2
73,1045,16.2
73,1081,16.2
73,1118,16.2
73,1161,16.2
73,1211,29.25
73,1265,32.4
73,1316,32.4
73,1368,32.4
73,1417,32.4
74,351,32.4
74,386,21.6
74,421,21.6
74,455,64.8
74,490,64.8
74,524,64.8
74,559,7.2
74,595,7.2
74,630,21.6
74,667,21.6
74,705,21.6
74,750,10.8
74,796,10.8
74,845,10.8
74,890,16.2
74,930,16.2
74,971,16.2
74,1008,16.2
74,1045,16.2
74,1081,16.2
74,1118,16.2
74,1161,16.2
74,1211,29.25
74,1265,32.4
74,1316,32.4
74,1368,32.4
74,1417,32.4
168,351,31.1538
168,386,26.129
168,421,26.129
168,455,8.4375
168,490,8.4375
168,524,8.4375
168,559,9.5294
168,595,9.5294
168,630,6.6942
168,667,6.6942
168,705,6.6942
168,750,7.7143
168,796,7.7143
168,845,7.7143
168,890,6.3281
168,930,6.3281
168,971,6.3281
168,1008,6.3281
168,1045,5.4362
168,1081,5.4362
168,1118,5.4362
168,1161,5.4362
168,1211,13.5
168,1265,13.5
168,1316,13.5
168,1368,13.5
168,1417,13.5
169,351,38.6169
169,386,36.1045
169,421,29.5217
169,455,20.6759
169,490,20.6759
169,524,20.6759
169,559,17.5647
169,595,17.5647
169,630,16.1471
169,667,16.1471
169,705,17.7471
169,750,18.2571
169,796,18.2571
169,845,16.6571
169,890,15.9641
169,930,15.9641
169,971,15.9641
169,1008,13.6368
169,1045,13.1908
169,1081,13.1908
169,1118,13.1908
169,1161,19.1753
169,1211,23.2071
169,1265,23.2071
169,1316,23.2071
169,1368,23.2071
169,1417,23.2071
170,351,31.1538
170,386,26.129
170,421,26.129
170,455,8.4375
170,490,8.4375
170,524,8.4375
170,559,9.5294
170,595,9.5294
170,630,6.6942
170,667,6.6942
170,705,6.6942
170,750,7.7143
170,796,7.7143
170,845,7.7143
170,890,6.3281
170,930,6.3281
170,971,6.3281
170,1008,6.3281
170,1045,5.4362
170,1081,5.4362
170,1118,5.4362
170,1161,5.4362
170,1211,13.5
170,1265,13.5
170,1316,13.5
170,1368,13.5
170,1417,13.5
177,351,37.0909
177,386,32.2105
